# SIMULATED DATA — FOR PORTFOLIO DEMONSTRATION ONLY. Not real survey responses.
respondent_id,age_band,gender,skin_type,primary_skin_concern,monthly_skincare_budget,primary_purchase_channel,preferred_texture,sustainability_claim_trust_1to5,stopped_use_due_to_exaggerated_claim,willingness_to_pay_premium,preferred_packaging,top_ranked_purchase_driver
R001,35-45,Female,Sensitive,Dullness/uneven tone,<$20/mo,Department store/Sephora-type,Lotion,4,Yes,Small premium (<10%),Tube,Sustainability
R002,25-34,Male,Combination,Dryness/dehydration,$40-70/mo,Brand website (DTC),Lotion,3,No,Small premium (<10%),Other,Brand reputation
R003,35-45,Female,Combination,Dryness/dehydration,$20-40/mo,In-store/pharmacy,Lotion,5,Yes,Small premium (<10%),Pump,Efficacy
R004,18-24,Female,Oily,Dullness/uneven tone,$40-70/mo,In-store/pharmacy,Lotion,2,No,Moderate premium (10-25%),Pump,Efficacy
R005,25-34,Female,Oily,Dryness/dehydration,$70-120/mo,In-store/pharmacy,Lotion,4,Yes,Small premium (<10%),Tube,Efficacy
R006,25-34,Female,Combination,Signs of aging,$40-70/mo,Marketplace (Amazon etc.),Cream,2,Yes,Small premium (<10%),Tube,Efficacy
R007,35-45,Female,Oily,Breakouts/acne,$20-40/mo,In-store/pharmacy,Cream,4,No,Small premium (<10%),Jar,Efficacy
R008,18-24,Female,Combination,Redness/sensitivity,$20-40/mo,Marketplace (Amazon etc.),Gel,3,Yes,Small premium (<10%),Tube,Ingredient safety/transparency
R009,25-34,Female,Oily,Large pores,$70-120/mo,In-store/pharmacy,Gel,5,No,Moderate premium (10-25%),Pump,Efficacy
R010,18-24,Male,Combination,Dryness/dehydration,$20-40/mo,In-store/pharmacy,Gel,4,No,Moderate premium (10-25%),Pump,Ingredient safety/transparency
R011,25-34,Female,Oily,Breakouts/acne,<$20/mo,Marketplace (Amazon etc.),Gel,1,Yes,Small premium (<10%),Tube,Sustainability
R012,25-34,Female,Combination,Dryness/dehydration,$120+/mo,Marketplace (Amazon etc.),Lotion,1,No,Small premium (<10%),Other,Price
R013,25-34,Female,Dry,Redness/sensitivity,$40-70/mo,Brand website (DTC),Lotion,4,Yes,Small premium (<10%),Tube,Ingredient safety/transparency
R014,25-34,Female,Combination,Signs of aging,<$20/mo,Department store/Sephora-type,Gel,1,No,Small premium (<10%),Jar,Ingredient safety/transparency
R015,25-34,Male,Dry,Redness/sensitivity,$20-40/mo,Department store/Sephora-type,Gel,1,Yes,Large premium (25%+),Other,Ingredient safety/transparency
R016,35-45,Male,Combination,Breakouts/acne,$70-120/mo,In-store/pharmacy,Cream,1,No,Small premium (<10%),Other,Efficacy
R017,18-24,Male,Oily,Dryness/dehydration,$40-70/mo,Department store/Sephora-type,Gel,2,No,Large premium (25%+),Pump,Efficacy
R018,18-24,Female,Oily,Dullness/uneven tone,$20-40/mo,Marketplace (Amazon etc.),Lotion,3,Yes,Moderate premium (10-25%),Pump,Ingredient safety/transparency
R019,18-24,Female,Normal,Breakouts/acne,$20-40/mo,Marketplace (Amazon etc.),Lotion,5,Yes,Large premium (25%+),Tube,Price
R020,25-34,Female,Oily,Breakouts/acne,$120+/mo,In-store/pharmacy,Oil,4,Yes,Moderate premium (10-25%),Tube,Efficacy
R021,35-45,Male,Oily,Redness/sensitivity,$40-70/mo,Department store/Sephora-type,Cream,2,Yes,Small premium (<10%),Pump,Brand reputation
R022,25-34,Female,Oily,Signs of aging,$70-120/mo,Brand website (DTC),Gel,3,Yes,Moderate premium (10-25%),Tube,Efficacy
R023,35-45,Female,Dry,Dryness/dehydration,<$20/mo,Brand website (DTC),Gel,2,Yes,Small premium (<10%),Pump,Efficacy
R024,25-34,Female,Sensitive,Signs of aging,<$20/mo,Brand website (DTC),Gel,2,No,Small premium (<10%),Tube,Efficacy
R025,25-34,Female,Sensitive,Dryness/dehydration,$120+/mo,Brand website (DTC),Balm,4,No,Moderate premium (10-25%),Jar,Ingredient safety/transparency
R026,35-45,Female,Combination,Redness/sensitivity,$70-120/mo,Marketplace (Amazon etc.),Cream,3,Yes,No premium,Pump,Price
R027,18-24,Female,Dry,Breakouts/acne,$20-40/mo,In-store/pharmacy,Gel,5,No,Small premium (<10%),Tube,Price
R028,35-45,Female,Sensitive,Redness/sensitivity,$40-70/mo,Marketplace (Amazon etc.),Lotion,2,No,Moderate premium (10-25%),Tube,Ingredient safety/transparency
R029,18-24,Female,Oily,Large pores,$20-40/mo,Department store/Sephora-type,Lotion,3,No,Moderate premium (10-25%),Other,Efficacy
R030,25-34,Female,Combination,Dryness/dehydration,$40-70/mo,In-store/pharmacy,Cream,3,No,Moderate premium (10-25%),Pump,Price
R031,35-45,Female,Oily,Dryness/dehydration,$40-70/mo,Marketplace (Amazon etc.),Lotion,3,Yes,Moderate premium (10-25%),Jar,Efficacy
R032,25-34,Female,Oily,Dryness/dehydration,$120+/mo,Marketplace (Amazon etc.),Cream,3,No,Large premium (25%+),Jar,Price
R033,25-34,Non-binary/Prefer not to say,Combination,Large pores,<$20/mo,Department store/Sephora-type,Lotion,1,No,Moderate premium (10-25%),Tube,Price
R034,35-45,Female,Combination,Redness/sensitivity,$20-40/mo,Department store/Sephora-type,Lotion,1,No,Moderate premium (10-25%),Tube,Ingredient safety/transparency
R035,18-24,Non-binary/Prefer not to say,Combination,Dullness/uneven tone,<$20/mo,Department store/Sephora-type,Gel,2,Yes,Moderate premium (10-25%),Tube,Brand reputation
R036,25-34,Female,Oily,Dryness/dehydration,$40-70/mo,In-store/pharmacy,Gel,4,Yes,Moderate premium (10-25%),Other,Ingredient safety/transparency
R037,25-34,Male,Oily,Dryness/dehydration,$20-40/mo,Marketplace (Amazon etc.),Lotion,3,No,No premium,Jar,Efficacy
R038,18-24,Female,Normal,Dullness/uneven tone,<$20/mo,In-store/pharmacy,Gel,4,No,No premium,Tube,Efficacy
R039,35-45,Female,Sensitive,Dullness/uneven tone,$40-70/mo,Brand website (DTC),Oil,2,No,Moderate premium (10-25%),Pump,Sustainability
R040,18-24,Female,Dry,Redness/sensitivity,<$20/mo,Brand website (DTC),Gel,2,Yes,Moderate premium (10-25%),Pump,Price
R041,25-34,Female,Combination,Breakouts/acne,<$20/mo,Marketplace (Amazon etc.),Cream,2,No,Small premium (<10%),Pump,Ingredient safety/transparency
R042,25-34,Female,Sensitive,Redness/sensitivity,$40-70/mo,In-store/pharmacy,Cream,3,No,Moderate premium (10-25%),Other,Price
R043,25-34,Male,Dry,Signs of aging,$40-70/mo,Brand website (DTC),Gel,4,Yes,Small premium (<10%),Tube,Efficacy
R044,25-34,Female,Oily,Signs of aging,$70-120/mo,Marketplace (Amazon etc.),Gel,3,Yes,Small premium (<10%),Other,Sustainability
R045,35-45,Female,Combination,Dullness/uneven tone,$20-40/mo,In-store/pharmacy,Gel,2,No,No premium,Tube,Ingredient safety/transparency
R046,35-45,Female,Sensitive,Large pores,$20-40/mo,Marketplace (Amazon etc.),Cream,1,No,Small premium (<10%),Pump,Efficacy
R047,18-24,Male,Oily,Dryness/dehydration,$20-40/mo,Marketplace (Amazon etc.),Cream,3,Yes,Small premium (<10%),Jar,Ingredient safety/transparency
R048,25-34,Female,Sensitive,Dryness/dehydration,$20-40/mo,Marketplace (Amazon etc.),Gel,4,No,Moderate premium (10-25%),Jar,Price
R049,35-45,Female,Sensitive,Breakouts/acne,$40-70/mo,Marketplace (Amazon etc.),Gel,2,No,Moderate premium (10-25%),Tube,Efficacy
R050,18-24,Female,Normal,Redness/sensitivity,$20-40/mo,In-store/pharmacy,Gel,2,No,Moderate premium (10-25%),Other,Ingredient safety/transparency
